Iteration	expected_value	risk	lambda
15	486.136	2359.203	0.020
16	741.252	1702.514	0.020
17	549.913	2230.671	0.020
18	758.481	4326.688	0.020
19	373.429	2206.111	0.020
20	744.147	4809.521	0.020
21	723.066	4256.479	0.020
22	830.048	3909.050	0.020
23	606.124	2356.161	0.020
24	606.124	2356.161	0.020
25	598.053	4673.510	0.020
26	598.053	4673.510	0.020
27	598.053	4673.510	0.020
28	598.053	4673.510	0.020
29	879.536	4468.244	0.020
30	879.536	4468.244	0.020
31	879.536	4468.244	0.020
32	879.536	4468.244	0.020
33	879.536	4468.244	0.020
34	879.536	4468.244	0.020
35	879.536	4468.244	0.020
36	879.536	4468.244	0.020
37	879.536	4468.244	0.020
38	879.536	4468.244	0.020
39	879.536	4468.244	0.020
40	879.536	4468.244	0.020
41	879.536	4468.244	0.020
42	879.536	4468.244	0.020
43	879.536	4468.244	0.020
44	879.536	4468.244	0.020
45	879.536	4468.244	0.020
46	879.536	4468.244	0.020
47	879.536	4468.244	0.020
48	879.536	4468.244	0.020
49	879.536	4468.244	0.020
50	879.536	4468.244	0.020
51	879.536	4468.244	0.020
52	879.536	4468.244	0.020
53	879.536	4468.244	0.020
54	879.536	4468.244	0.020
55	879.536	4468.244	0.020
56	879.536	4468.244	0.020
57	879.536	4468.244	0.020
58	879.536	4468.244	0.020
59	879.536	4468.244	0.020
60	879.536	4468.244	0.020
61	879.536	4468.244	0.020
62	879.536	4468.244	0.020
63	879.536	4468.244	0.020
64	879.536	4468.244	0.020
65	879.536	4468.244	0.020
66	879.536	4468.244	0.020
67	879.536	4468.244	0.020
68	879.536	4468.244	0.020
69	879.536	4468.244	0.020
70	879.536	4468.244	0.020
71	879.536	4468.244	0.020
72	879.536	4468.244	0.020
73	879.536	4468.244	0.020
74	879.536	4468.244	0.020
75	879.536	4468.244	0.020
76	879.536	4468.244	0.020
77	879.536	4468.244	0.020
78	879.536	4468.244	0.020
79	879.536	4468.244	0.020
80	879.536	4468.244	0.020
81	879.536	4468.244	0.020
82	879.536	4468.244	0.020
83	879.536	4468.244	0.020
84	879.536	4468.244	0.020
85	879.536	4468.244	0.020
86	879.536	4468.244	0.020
87	879.536	4468.244	0.020
88	879.536	4468.244	0.020
89	879.536	4468.244	0.020
90	879.536	4468.244	0.020
91	879.536	4468.244	0.020
92	879.536	4468.244	0.020
93	879.536	4468.244	0.020
94	879.536	4468.244	0.020
95	879.536	4468.244	0.020
96	879.536	4468.244	0.020
97	879.536	4468.244	0.020
98	879.536	4468.244	0.020
99	879.536	4468.244	0.020
1	428.739	1524.219	0.030
2	582.272	1482.752	0.030
3	590.532	1899.434	0.030
4	560.499	1992.433	0.030
5	496.577	2972.980	0.030
6	581.702	1413.064	0.030
7	547.150	1322.870	0.030
8	624.110	2993.794	0.030
9	858.051	1506.461	0.030
10	750.298	2313.076	0.030
11	666.164	2517.140	0.030
12	797.846	3849.242	0.030
13	675.663	3331.624	0.030
14	560.143	2183.600	0.030
15	718.659	1526.361	0.030
16	1181.726	2721.925	0.030
17	802.975	1924.877	0.030
18	1069.961	3687.599	0.030
19	1157.695	5645.662	0.030
20	927.428	3866.430	0.030
21	933.978	4779.215	0.030
22	909.186	2332.118	0.030
23	909.186	2332.118	0.030
24	909.186	2332.118	0.030
25	909.186	2332.118	0.030
26	909.186	2332.118	0.030
27	820.381	1704.619	0.030
28	786.109	1828.642	0.030
29	917.472	2719.896	0.030
30	994.446	1757.987	0.030
31	1322.245	4612.407	0.030
32	1322.245	4612.407	0.030
33	1322.245	4612.407	0.030
34	1322.245	4612.407	0.030
35	1322.245	4612.407	0.030
36	1322.245	4612.407	0.030
37	1322.245	4612.407	0.030
38	1322.245	4612.407	0.030
39	1322.245	4612.407	0.030
40	1322.245	4612.407	0.030
41	1322.245	4612.407	0.030
42	1322.245	4612.407	0.030
43	1322.245	4612.407	0.030
44	1322.245	4612.407	0.030
45	1322.245	4612.407	0.030
46	1322.245	4612.407	0.030
47	1322.245	4612.407	0.030
48	1322.245	4612.407	0.030
49	1322.245	4612.407	0.030
50	1322.245	4612.407	0.030
51	1322.245	4612.407	0.030
52	1322.245	4612.407	0.030
53	1322.245	4612.407	0.030
54	1322.245	4612.407	0.030
55	1322.245	4612.407	0.030
56	1322.245	4612.407	0.030
57	1322.245	4612.407	0.030
58	1322.245	4612.407	0.030
59	1322.245	4612.407	0.030
60	1322.245	4612.407	0.030
61	1322.245	4612.407	0.030
62	1322.245	4612.407	0.030
63	1322.245	4612.407	0.030
64	1322.245	4612.407	0.030
65	1322.245	4612.407	0.030
66	1322.245	4612.407	0.030
67	1322.245	4612.407	0.030
68	1322.245	4612.407	0.030
69	1322.245	4612.407	0.030
70	1322.245	4612.407	0.030
71	1322.245	4612.407	0.030
72	1322.245	4612.407	0.030
73	1322.245	4612.407	0.030
74	1322.245	4612.407	0.030
75	1322.245	4612.407	0.030
76	1322.245	4612.407	0.030
77	1322.245	4612.407	0.030
78	1322.245	4612.407	0.030
79	1322.245	4612.407	0.030
80	1322.245	4612.407	0.030
81	1322.245	4612.407	0.030
82	1322.245	4612.407	0.030
83	1322.245	4612.407	0.030
84	1322.245	4612.407	0.030
85	1322.245	4612.407	0.030
86	1322.245	4612.407	0.030
87	1322.245	4612.407	0.030
88	1322.245	4612.407	0.030
89	1322.245	4612.407	0.030
90	1322.245	4612.407	0.030
91	1322.245	4612.407	0.030
92	1322.245	4612.407	0.030
93	1322.245	4612.407	0.030
94	1322.245	4612.407	0.030
95	1322.245	4612.407	0.030
96	1322.245	4612.407	0.030
97	1322.245	4612.407	0.030
98	1322.245	4612.407	0.030
99	1322.245	4612.407	0.030
1	571.651	1508.505	0.040
2	776.362	1467.466	0.040
3	787.377	1879.852	0.040
4	662.102	2942.331	0.040
5	963.305	2660.783	0.040
6	775.603	1398.496	0.040
7	729.533	1309.232	0.040
8	832.147	2962.930	0.040
9	1144.067	1490.930	0.040
10	1298.625	3432.286	0.040
11	888.219	2491.190	0.040
12	1063.795	3809.559	0.040
13	900.884	3297.277	0.040
14	1081.606	5556.282	0.040
15	1426.614	3649.583	0.040
16	1236.570	3826.570	0.040
17	1062.518	2122.349	0.040
18	1446.132	4169.612	0.040
19	1446.132	4169.612	0.040
20	1325.927	1739.864	0.040
21	1325.927	1739.864	0.040
22	1325.927	1739.864	0.040
23	1325.927	1739.864	0.040
24	1325.927	1739.864	0.040
25	1083.922	4658.852	0.040
26	1563.972	4516.030	0.040
27	1563.972	4516.030	0.040
28	1563.972	4516.030	0.040
29	1563.972	4516.030	0.040
30	1093.841	1687.045	0.040
31	1048.145	1809.790	0.040
32	1223.295	2691.856	0.040
33	1518.070	3012.882	0.040
34	1646.650	3381.938	0.040
35	1646.650	3381.938	0.040
36	1646.650	3381.938	0.040
37	1646.650	3381.938	0.040
38	1646.650	3381.938	0.040
39	1205.252	1925.683	0.040
40	1205.252	1925.683	0.040
41	1205.252	1925.683	0.040
42	1205.252	1925.683	0.040
43	1205.252	1925.683	0.040
44	1205.252	1925.683	0.040
45	1205.252	1925.683	0.040
46	1205.252	1925.683	0.040
47	1205.252	1925.683	0.040
48	1442.491	2707.161	0.040
49	1442.491	2707.161	0.040
50	1442.491	2707.161	0.040
51	1442.491	2707.161	0.040
52	1442.491	2707.161	0.040
53	1442.491	2707.161	0.040
54	1442.491	2707.161	0.040
