Iteration	expected_value	risk	lambda
11	2634.658	2368.271	0.080
12	2634.658	2368.271	0.080
13	2823.438	1729.666	0.080
14	2473.141	3667.129	0.080
15	2125.419	1703.758	0.080
16	2125.419	1703.758	0.080
17	2125.419	1703.758	0.080
18	1329.753	2239.700	0.080
19	1329.753	2239.700	0.080
20	1329.753	2239.700	0.080
21	1329.753	2239.700	0.080
22	2175.061	2541.468	0.080
23	2142.580	2353.542	0.080
24	1549.404	2550.968	0.080
25	3033.438	2442.856	0.080
26	3033.438	2442.856	0.080
27	2127.589	3650.827	0.080
28	1801.769	3159.891	0.080
29	1794.523	2081.334	0.080
30	2163.212	5324.771	0.080
31	2828.530	5535.732	0.080
32	1930.051	3260.423	0.080
33	1930.051	3260.423	0.080
34	1930.051	3260.423	0.080
35	1930.051	3260.423	0.080
36	1930.051	3260.423	0.080
37	1930.051	3260.423	0.080
38	1930.051	3260.423	0.080
39	1930.051	3260.423	0.080
40	1930.051	3260.423	0.080
41	1930.051	3260.423	0.080
42	1930.051	3260.423	0.080
43	1930.051	3260.423	0.080
44	1930.051	3260.423	0.080
45	1930.051	3260.423	0.080
46	1930.051	3260.423	0.080
47	1930.051	3260.423	0.080
48	1930.051	3260.423	0.080
49	1930.051	3260.423	0.080
1	1429.128	1414.223	0.100
2	1940.906	1375.749	0.100
3	1968.441	1762.361	0.100
4	1655.256	2758.435	0.100
5	2408.263	2494.485	0.100
6	1939.006	1311.090	0.100
7	2013.863	2924.801	0.100
8	2860.168	1397.747	0.100
9	3246.564	3217.768	0.100
10	2220.547	2335.490	0.100
11	1936.754	2495.512	0.100
12	1936.754	2495.512	0.100
13	3293.322	2316.787	0.100
14	3091.426	3587.409	0.100
15	2656.773	1666.720	0.100
16	2656.773	1666.720	0.100
17	2656.773	1666.720	0.100
18	1662.192	2191.011	0.100
19	1662.192	2191.011	0.100
20	1662.192	2191.011	0.100
21	1662.192	2191.011	0.100
22	2718.827	2486.219	0.100
23	2678.224	2302.378	0.100
24	2842.532	3019.134	0.100
25	2842.532	3019.134	0.100
26	2842.532	3019.134	0.100
27	2659.487	3571.461	0.100
28	2252.211	3091.197	0.100
29	2243.154	2036.087	0.100
30	2704.015	5209.015	0.100
31	3535.663	5415.390	0.100
32	2412.563	3189.544	0.100
33	2412.563	3189.544	0.100
34	2412.563	3189.544	0.100
35	2412.563	3189.544	0.100
36	2412.563	3189.544	0.100
37	2412.563	3189.544	0.100
38	2412.563	3189.544	0.100
39	2412.563	3189.544	0.100
40	2412.563	3189.544	0.100
41	2412.563	3189.544	0.100
42	2412.563	3189.544	0.100
43	2412.563	3189.544	0.100
44	2412.563	3189.544	0.100
45	2412.563	3189.544	0.100
46	2412.563	3189.544	0.100
47	2412.563	3189.544	0.100
48	2412.563	3189.544	0.100
49	2412.563	3189.544	0.100
1	1714.954	1382.796	0.120
2	2329.087	1345.177	0.120
3	2362.130	1723.198	0.120
4	1986.307	2697.137	0.120
5	2889.915	2439.052	0.120
6	2326.808	1281.955	0.120
7	2416.636	2859.805	0.120
8	3432.202	1366.686	0.120
9	3895.876	3146.262	0.120
10	2664.656	2283.590	0.120
11	2324.105	2440.057	0.120
12	2324.105	2440.057	0.120
13	3951.987	2265.303	0.120
14	3709.711	3507.689	0.120
15	3188.128	1629.681	0.120
16	3188.128	1629.681	0.120
17	3188.128	1629.681	0.120
18	1994.630	2142.322	0.120
19	1994.630	2142.322	0.120
20	1994.630	2142.322	0.120
21	1994.630	2142.322	0.120
22	3262.592	2430.969	0.120
23	3213.869	2251.214	0.120
24	3411.039	2952.042	0.120
25	3411.039	2952.042	0.120
26	3411.039	2952.042	0.120
27	3411.039	2952.042	0.120
28	3411.039	2952.042	0.120
29	3411.039	2952.042	0.120
30	3191.384	3492.096	0.120
31	2702.653	3022.504	0.120
32	3244.818	5093.259	0.120
33	4094.854	3858.238	0.120
34	4242.795	5295.048	0.120
35	2895.076	3118.666	0.120
36	2895.076	3118.666	0.120
37	2895.076	3118.666	0.120
38	2895.076	3118.666	0.120
39	2895.076	3118.666	0.120
40	2895.076	3118.666	0.120
41	2895.076	3118.666	0.120
42	2895.076	3118.666	0.120
43	2895.076	3118.666	0.120
44	2895.076	3118.666	0.120
45	2895.076	3118.666	0.120
46	2895.076	3118.666	0.120
47	2895.076	3118.666	0.120
48	2895.076	3118.666	0.120
49	2895.076	3118.666	0.120
1	2000.780	1351.369	0.140
2	2717.268	1314.605	0.140
3	2755.818	1684.034	0.140
4	2317.358	2635.838	0.140
5	3371.568	2383.619	0.140
6	2714.609	1252.819	0.140
7	2819.408	2794.810	0.140
8	4004.236	1335.625	0.140
9	4545.189	3074.756	0.140
10	2327.068	2093.633	0.140
11	3110.551	2321.479	0.140
12	4449.783	2664.242	0.140
