Iteration	expexted_value	risk	lambda
14	972.662	4784.454	0.020
15	896.518	3990.950	0.020
16	959.732	4026.190	0.020
17	863.387	3679.325	0.020
18	926.602	3885.323	0.020
19	982.666	4506.213	0.020
20	1006.769	4299.339	0.020
21	1019.433	4349.955	0.020
22	975.073	4082.098	0.020
23	1036.251	5498.037	0.020
24	969.936	3957.675	0.020
25	1030.586	5427.664	0.020
26	963.084	3995.208	0.020
27	917.981	4461.856	0.020
28	1050.815	4624.123	0.020
29	939.168	4853.063	0.020
30	1003.906	5004.501	0.020
31	920.915	4917.173	0.020
32	998.326	5266.947	0.020
33	965.829	5192.488	0.020
34	892.984	3880.227	0.020
35	874.640	4095.651	0.020
36	928.959	4045.336	0.020
37	897.699	4500.875	0.020
38	937.867	3846.919	0.020
39	875.567	3772.810	0.020
40	906.702	3784.551	0.020
41	886.477	3833.369	0.020
42	870.911	3761.353	0.020
43	807.699	3655.451	0.020
44	866.703	3803.173	0.020
45	905.879	5108.509	0.020
46	954.927	4708.600	0.020
47	1048.251	5964.907	0.020
48	995.573	4923.585	0.020
49	926.228	4538.990	0.020
50	1035.222	4340.713	0.020
51	1086.815	5420.291	0.020
52	1122.640	4796.465	0.020
53	1027.753	5199.747	0.020
54	1031.114	4386.724	0.020
55	975.149	5231.456	0.020
56	998.253	4350.067	0.020
57	942.745	4387.147	0.020
58	928.050	4226.185	0.020
59	871.315	4145.417	0.020
60	930.319	4375.611	0.020
61	951.359	4840.103	0.020
62	1027.862	5094.759	0.020
63	904.126	4821.570	0.020
64	939.415	4041.558	0.020
65	993.928	4997.531	0.020
66	990.530	4079.908	0.020
67	972.038	4073.700	0.020
68	1005.950	4245.612	0.020
69	869.350	4155.931	0.020
70	923.042	5130.817	0.020
71	964.600	5623.245	0.020
72	999.779	5371.883	0.020
73	973.346	4880.907	0.020
74	960.518	5351.933	0.020
75	941.397	5271.408	0.020
76	930.198	3987.204	0.020
77	992.325	4025.161	0.020
78	1002.237	3729.477	0.020
79	906.179	4159.783	0.020
80	938.932	3714.332	0.020
81	917.017	4500.389	0.020
82	990.128	4224.098	0.020
83	873.720	4532.979	0.020
84	919.549	3969.738	0.020
85	874.446	4356.747	0.020
86	1007.280	4665.207	0.020
87	937.226	4342.138	0.020
88	949.911	4096.995	0.020
89	1011.358	5739.285	0.020
90	1029.280	4867.926	0.020
91	1091.832	6106.086	0.020
92	1017.567	4062.128	0.020
93	989.811	4797.010	0.020
94	1036.885	4848.386	0.020
95	1070.648	4260.914	0.020
96	1011.266	5637.813	0.020
97	1081.210	4325.429	0.020
98	1077.774	6085.307	0.020
99	1027.077	4631.290	0.020
1	1668.365	5552.547	0.030
2	1562.842	5722.925	0.030
3	1578.412	4967.572	0.030
4	1542.864	5352.607	0.030
5	1557.044	4605.804	0.030
6	1516.983	5130.700	0.030
7	1517.324	5015.035	0.030
8	1604.254	6649.736	0.030
9	1504.301	4997.783	0.030
10	1388.185	4560.226	0.030
11	1428.150	4706.751	0.030
12	1520.040	5075.015	0.030
13	1364.172	4643.506	0.030
14	1458.994	4735.633	0.030
15	1344.777	3950.226	0.030
16	1439.598	3985.107	0.030
17	1295.081	3641.781	0.030
18	1389.903	3845.676	0.030
19	1473.999	4460.231	0.030
20	1510.153	4255.469	0.030
21	1529.149	4305.568	0.030
22	1462.610	4040.444	0.030
23	1554.376	5441.935	0.030
24	1454.904	3917.291	0.030
25	1545.879	5372.280	0.030
26	1444.626	3954.440	0.030
27	1376.972	4416.327	0.030
28	1576.223	4576.938	0.030
29	1408.752	4803.542	0.030
30	1505.858	4953.435	0.030
31	1381.373	4866.998	0.030
32	1497.489	5213.202	0.030
33	1448.744	5139.504	0.030
34	1339.475	3840.633	0.030
35	1311.961	4053.859	0.030
36	1384.405	4187.747	0.030
37	1360.333	4058.120	0.030
38	1467.059	5351.076	0.030
39	1449.117	4191.012	0.030
40	1554.233	5355.389	0.030
41	1593.799	4379.848	0.030
42	1619.479	5442.049	0.030
43	1655.995	4745.469	0.030
44	1606.250	4433.270	0.030
45	1660.582	5002.157	0.030
46	1573.435	4527.278	0.030
47	1409.675	4434.555	0.030
48	1483.547	4437.127	0.030
49	1313.579	3629.111	0.030
50	1396.028	3932.461	0.030
51	1247.846	3513.599	0.030
52	1330.294	3785.604	0.030
53	1262.623	4231.391	0.030
54	1461.871	4357.622	0.030
55	1534.800	5735.123	0.030
56	1486.885	4394.109	0.030
57	1565.498	5255.835	0.030
58	1552.833	4296.420	0.030
59	1630.223	5364.982	0.030
60	1491.446	4007.593	0.030
61	1464.904	4873.263	0.030
62	1514.836	4140.938	0.030
63	1350.122	3690.273	0.030
64	1466.239	4053.650	0.030
65	1330.874	4317.504	0.030
66	1467.282	4016.418	0.030
67	1226.892	3196.603	0.030
68	1190.878	3281.646	0.030
69	1094.412	2915.736	0.030
70	1189.114	3121.863	0.030
71	1290.206	4657.242	0.030
72	1251.435	3284.298	0.030
73	1347.371	4538.029	0.030
74	1417.564	3757.170	0.030
75	1383.942	3734.148	0.030
76	1413.113	3873.845	0.030
77	1396.647	4958.464	0.030
78	1263.090	3456.639	0.030
79	1168.272	3430.982	0.030
80	1256.777	3581.897	0.030
81	1307.691	4616.714	0.030
82	1432.391	4660.553	0.030
83	1557.765	5899.996	0.030
84	1499.700	5044.956	0.030
85	1398.253	4533.635	0.030
86	1492.397	4583.569	0.030
87	1660.449	5130.734	0.030
88	1580.962	4882.849	0.030
89	1784.514	5544.730	0.030
90	1469.697	4623.116	0.030
91	1700.459	5385.081	0.030
92	1540.513	5189.425	0.030
93	1374.548	3807.011	0.030
94	1456.996	4093.540	0.030
95	1472.483	4325.197	0.030
96	1588.593	4680.795	0.030
97	1507.700	4943.454	0.030
98	1613.576	5138.220	0.030
99	1458.242	5421.137	0.030
1	2224.486	5495.304	0.040
2	2083.789	5663.926	0.040
3	2104.550	4916.359	0.040
4	2057.151	5297.426	0.040
5	2076.058	4558.321	0.040
6	2022.644	5077.806	0.040
7	2023.099	4963.333	0.040
8	2139.005	6581.182	0.040
9	2005.735	4946.260	0.040
10	1850.913	4513.213	0.040
11	1904.201	4658.228	0.040
12	2026.720	5022.696	0.040
13	1818.896	4595.635	0.040
14	1945.325	4686.812	0.040
15	1793.035	3909.502	0.040
16	1919.464	3944.023	0.040
17	1726.775	3604.237	0.040
18	1853.204	3806.030	0.040
19	1965.332	4414.249	0.040
20	2013.538	4211.598	0.040
21	2038.865	4261.181	0.040
22	1950.146	3998.790	0.040
23	2072.501	5385.832	0.040
24	1939.871	3876.906	0.040
25	2061.172	5316.895	0.040
26	1926.167	3913.673	0.040
27	1835.963	4370.797	0.040
28	1974.653	4698.373	0.040
29	1958.540	6167.911	0.040
30	2298.549	6073.839	0.040
31	2077.020	5839.171	0.040
32	2338.170	5532.888	0.040
33	2218.307	6133.589	0.040
34	2474.864	5911.448	0.040
35	2098.145	4863.538	0.040
36	1995.062	3727.403	0.040
37	1961.121	4856.686	0.040
38	1878.195	3791.260	0.040
39	1842.907	4815.553	0.040
40	1861.371	3891.920	0.040
41	1771.142	4338.691	0.040
42	1897.567	4451.237	0.040
43	2090.161	4829.768	0.040
44	1999.984	4803.090	0.040
45	2180.142	5822.385	0.040
46	2230.461	5557.490	0.040
47	2321.998	5918.931	0.040
48	2092.047	4229.884	0.040
49	2072.874	4502.230	0.040
50	1964.891	4003.724	0.040
51	1932.324	4608.409	0.040
52	1769.277	3450.685	0.040
53	1642.573	3370.077	0.040
54	1752.505	3533.716	0.040
55	1662.276	3955.004	0.040
56	1817.565	3543.414	0.040
57	1769.893	4045.024	0.040
58	2019.782	4098.248	0.040
59	1877.632	4365.182	0.040
60	2028.981	4269.187	0.040
61	1964.149	4937.476	0.040
62	1953.739	4667.055	0.040
63	1845.102	4768.226	0.040
64	1999.924	5128.515	0.040
65	2184.813	6384.386	0.040
66	1922.089	4607.635	0.040
67	2173.495	6210.395	0.040
68	1950.155	4759.125	0.040
69	1815.021	4508.614	0.040
70	1940.453	4568.833	0.040
71	2166.105	5152.258	0.040
72	1982.837	4737.267	0.040
73	1632.879	3370.475	0.040
74	1750.887	3559.474	0.040
75	1815.181	4610.244	0.040
76	1970.338	4295.391	0.040
77	1882.646	4645.439	0.040
78	1981.597	4286.197	0.040
79	2016.651	4836.684	0.040
80	2141.460	4339.629	0.040
81	2148.762	5027.930	0.040
82	1989.934	4180.790	0.040
83	2122.388	5302.187	0.040
84	1938.782	4195.049	0.040
85	1923.890	3858.115	0.040
86	1860.396	3905.833	0.040
87	1984.651	3943.014	0.040
88	1982.621	3844.987	0.040
89	1949.806	4069.874	0.040
90	1904.796	3951.797	0.040
91	1884.352	5185.115	0.040
92	1972.660	4235.429	0.040
93	1836.663	4987.442	0.040
94	2022.500	4319.155	0.040
95	1763.595	4296.699	0.040
96	1871.663	4469.920	0.040
97	1824.945	4694.386	0.040
98	1788.545	4076.035	0.040
99	1982.180	4565.233	0.040
1	2780.608	5438.061	0.050
2	2604.736	5604.927	0.050
3	2630.687	4865.147	0.050
4	2571.439	5242.244	0.050
5	2595.073	4510.839	0.050
6	2528.304	5024.913	0.050
7	2528.874	4911.632	0.050
8	2673.757	6512.628	0.050
9	2507.168	4894.736	0.050
10	2313.641	4466.201	0.050
11	2380.251	4609.704	0.050
12	2533.400	4970.376	0.050
13	2273.620	4547.764	0.050
14	2324.582	4459.025	0.050
15	2162.055	3678.551	0.050
16	2320.091	3787.860	0.050
17	2079.743	3441.153	0.050
18	2237.779	3567.267	0.050
19	2184.300	4394.214	0.050
20	2475.321	4094.789	0.050
21	2402.472	4945.287	0.050
22	2587.273	4227.107	0.050
23	2292.982	3883.659	0.050
24	2267.962	3692.551	0.050
25	2134.036	3633.969	0.050
26	2281.545	3819.939	0.050
27	2418.348	5045.322	0.050
28	2420.624	4812.737	0.050
29	2302.288	4766.647	0.050
30	2326.713	3851.379	0.050
31	2352.481	4011.608	0.050
32	2408.234	3799.403	0.050
33	2529.843	4591.490	0.050
34	2536.226	4224.716	0.050
35	2641.721	5089.744	0.050
36	2704.291	4303.732	0.050
37	2333.676	4432.312	0.050
38	2314.920	3739.970	0.050
39	2179.836	3595.384	0.050
40	2211.596	3414.741	0.050
41	2053.216	3334.972	0.050
42	2246.744	3677.838	0.050
43	1896.340	3141.096	0.050
44	2043.849	3272.671	0.050
45	2168.028	4520.057	0.050
46	2095.767	3410.016	0.050
47	2252.705	4145.232	0.050
48	2239.700	3814.658	0.050
49	2278.758	4473.803	0.050
50	2308.260	3739.586	0.050
51	2262.030	3815.507	0.050
52	2266.755	3668.698	0.050
53	2224.661	4342.521	0.050
54	2177.278	3646.209	0.050
55	2019.248	3543.550	0.050
56	2212.775	3892.667	0.050
57	2277.831	4922.957	0.050
58	2352.235	4409.221	0.050
59	2620.627	5782.308	0.050
60	2488.932	4772.863	0.050
61	2315.571	4400.042	0.050
62	2588.056	4207.834	0.050
