Iteration	expected_value	risk	lambda
1	0.000	2305.565	0.000
2	0.000	2217.749	0.000
3	0.000	2699.049	0.000
4	0.000	2024.136	0.000
5	0.000	2457.833	0.000
6	0.000	2495.666	0.000
7	0.000	2898.577	0.000
8	0.000	2339.111	0.000
9	0.000	2322.278	0.000
10	0.000	2692.382	0.000
11	0.000	2488.153	0.000
12	0.000	3782.323	0.000
13	0.000	3301.895	0.000
14	0.000	2260.077	0.000
15	0.000	2366.689	0.000
16	0.000	3366.773	0.000
17	0.000	2981.639	0.000
18	0.000	3162.276	0.000
19	0.000	3162.276	0.000
20	0.000	3439.350	0.000
21	0.000	2218.808	0.000
22	0.000	2031.843	0.000
23	0.000	2245.419	0.000
24	0.000	2199.930	0.000
25	0.000	2598.270	0.000
26	0.000	3101.189	0.000
27	0.000	2828.111	0.000
28	0.000	2342.873	0.000
29	0.000	2342.873	0.000
30	0.000	3462.770	0.000
31	0.000	3719.530	0.000
32	0.000	4150.831	0.000
33	0.000	3814.104	0.000
34	0.000	2279.998	0.000
35	0.000	3238.396	0.000
36	0.000	2498.680	0.000
37	0.000	2605.309	0.000
38	0.000	3751.338	0.000
39	0.000	3083.804	0.000
40	0.000	3083.804	0.000
41	0.000	3083.804	0.000
42	0.000	3083.804	0.000
43	0.000	2403.147	0.000
44	0.000	2936.105	0.000
45	0.000	2717.971	0.000
46	0.000	3782.116	0.000
47	0.000	3421.530	0.000
48	0.000	3421.530	0.000
49	0.000	3421.530	0.000
50	0.000	3421.530	0.000
51	0.000	3421.530	0.000
52	0.000	3421.530	0.000
53	0.000	3421.530	0.000
54	0.000	2687.254	0.000
55	0.000	2687.254	0.000
56	0.000	2268.249	0.000
57	0.000	2268.249	0.000
58	0.000	2268.249	0.000
59	0.000	2950.999	0.000
60	0.000	2950.999	0.000
61	0.000	2950.999	0.000
62	0.000	2950.999	0.000
63	0.000	2950.999	0.000
64	0.000	2950.999	0.000
65	0.000	2950.999	0.000
66	0.000	2950.999	0.000
67	0.000	2950.999	0.000
68	0.000	2950.999	0.000
69	0.000	2950.999	0.000
70	0.000	2950.999	0.000
71	0.000	2950.999	0.000
72	0.000	2950.999	0.000
73	0.000	2950.999	0.000
74	0.000	2950.999	0.000
75	0.000	2950.999	0.000
76	0.000	2950.999	0.000
77	0.000	2950.999	0.000
78	0.000	2950.999	0.000
79	0.000	2950.999	0.000
80	0.000	2950.999	0.000
81	0.000	2950.999	0.000
82	0.000	2950.999	0.000
83	0.000	2950.999	0.000
84	0.000	2950.999	0.000
85	0.000	2950.999	0.000
86	0.000	2950.999	0.000
87	0.000	2950.999	0.000
88	0.000	2950.999	0.000
89	0.000	2950.999	0.000
90	0.000	2950.999	0.000
91	0.000	2950.999	0.000
92	0.000	2950.999	0.000
93	0.000	2950.999	0.000
94	0.000	2950.999	0.000
95	0.000	2950.999	0.000
96	0.000	2950.999	0.000
97	0.000	2950.999	0.000
98	0.000	2950.999	0.000
99	0.000	2950.999	0.000
1	205.555	2282.509	0.010
2	199.822	2206.645	0.010
3	200.424	2205.611	0.010
4	197.874	2003.895	0.010
5	195.791	2219.267	0.010
