Iteration	expected_value	risk	lambda
1	0.000	3289.565	0.000
2	0.000	2666.130	0.000
3	0.000	2801.238	0.000
4	0.000	3234.940	0.000
5	0.000	2506.214	0.000
6	0.000	2987.866	0.000
7	0.000	3067.299	0.000
8	0.000	3358.742	0.000
9	0.000	3501.498	0.000
10	0.000	2903.284	0.000
11	0.000	2991.854	0.000
12	0.000	3140.783	0.000
13	0.000	3700.077	0.000
14	0.000	3771.747	0.000
15	0.000	3165.093	0.000
16	0.000	2782.771	0.000
17	0.000	2758.727	0.000
18	0.000	3043.019	0.000
19	0.000	3045.325	0.000
20	0.000	3725.217	0.000
21	0.000	3393.808	0.000
22	0.000	3328.750	0.000
23	0.000	3229.406	0.000
24	0.000	3170.804	0.000
25	0.000	3168.077	0.000
26	0.000	2960.447	0.000
27	0.000	2958.702	0.000
28	0.000	3385.287	0.000
29	0.000	3605.293	0.000
30	0.000	3443.821	0.000
31	0.000	3580.421	0.000
32	0.000	3229.201	0.000
33	0.000	3476.926	0.000
34	0.000	3564.215	0.000
35	0.000	3331.656	0.000
36	0.000	3331.656	0.000
37	0.000	3429.814	0.000
38	0.000	3429.814	0.000
39	0.000	3278.368	0.000
40	0.000	3215.641	0.000
41	0.000	3215.641	0.000
42	0.000	3376.538	0.000
43	0.000	3376.538	0.000
44	0.000	3376.538	0.000
45	0.000	3376.538	0.000
46	0.000	3202.872	0.000
47	0.000	2992.477	0.000
48	0.000	2992.477	0.000
49	0.000	2992.477	0.000
50	0.000	2992.477	0.000
51	0.000	3159.547	0.000
52	0.000	3199.744	0.000
53	0.000	3199.744	0.000
54	0.000	2963.277	0.000
55	0.000	2933.694	0.000
56	0.000	2933.694	0.000
57	0.000	2933.694	0.000
58	0.000	2933.694	0.000
59	0.000	2933.694	0.000
60	0.000	2933.694	0.000
61	0.000	2867.352	0.000
62	0.000	2890.779	0.000
63	0.000	3118.850	0.000
64	0.000	3046.008	0.000
65	0.000	3350.992	0.000
66	0.000	3115.708	0.000
67	0.000	3115.708	0.000
68	0.000	3115.708	0.000
69	0.000	3115.708	0.000
70	0.000	3115.708	0.000
71	0.000	3115.708	0.000
72	0.000	3115.708	0.000
73	0.000	3115.708	0.000
74	0.000	3115.708	0.000
75	0.000	3271.232	0.000
76	0.000	4016.327	0.000
77	0.000	4016.327	0.000
78	0.000	4016.327	0.000
79	0.000	4016.327	0.000
80	0.000	4016.327	0.000
81	0.000	4016.327	0.000
82	0.000	4016.327	0.000
83	0.000	4016.327	0.000
84	0.000	4016.327	0.000
85	0.000	4016.327	0.000
86	0.000	4016.327	0.000
87	0.000	4016.327	0.000
88	0.000	4016.327	0.000
89	0.000	3403.339	0.000
90	0.000	3403.339	0.000
91	0.000	3403.339	0.000
92	0.000	3403.339	0.000
93	0.000	3403.339	0.000
94	0.000	3403.339	0.000
95	0.000	3403.339	0.000
96	0.000	3403.339	0.000
97	0.000	3403.339	0.000
98	0.000	3403.339	0.000
99	0.000	3403.339	0.000
1	410.103	3256.669	0.010
2	385.703	2639.468	0.010
3	395.975	2773.226	0.010
4	421.901	3202.590	0.010
5	374.085	2481.152	0.010
6	394.727	2957.987	0.010
7	423.139	3036.626	0.010
8	453.690	3325.154	0.010
9	425.298	3466.483	0.010
10	437.609	2874.251	0.010
11	452.095	2961.935	0.010
12	436.227	3109.375	0.010
13	408.575	3133.442	0.010
14	442.035	3067.646	0.010
15	414.986	2754.943	0.010
16	439.239	2939.386	0.010
17	439.239	2939.386	0.010
18	404.936	2843.528	0.010
19	446.183	3144.144	0.010
20	413.856	3014.872	0.010
21	443.385	3687.965	0.010
22	444.970	3209.753	0.010
23	437.062	3359.870	0.010
24	453.581	3295.462	0.010
25	431.534	3197.112	0.010
26	436.568	3139.096	0.010
27	444.455	3244.676	0.010
28	440.321	3136.396	0.010
29	436.219	2930.842	0.010
30	427.363	2929.115	0.010
31	442.526	3351.435	0.010
32	453.017	3569.240	0.010
33	433.458	3261.329	0.010
34	454.060	3544.617	0.010
35	454.643	3245.584	0.010
36	447.957	2731.140	0.010
37	455.090	3442.157	0.010
38	452.200	3528.572	0.010
39	417.442	3183.485	0.010
40	440.753	3572.368	0.010
41	446.976	3294.923	0.010
42	446.976	3294.923	0.010
43	450.027	3298.339	0.010
44	450.027	3298.339	0.010
45	458.646	3342.772	0.010
46	458.646	3342.772	0.010
47	458.646	3342.772	0.010
48	464.162	3251.455	0.010
49	429.362	3106.463	0.010
50	471.187	3638.557	0.010
51	451.738	3030.946	0.010
52	422.109	3048.770	0.010
53	422.109	3048.770	0.010
54	417.470	2904.357	0.010
55	417.470	2904.357	0.010
56	417.470	2904.357	0.010
57	417.470	2904.357	0.010
58	417.470	2904.357	0.010
59	417.470	2904.357	0.010
60	455.689	3087.661	0.010
61	453.494	2762.541	0.010
62	465.396	3199.656	0.010
63	467.836	3196.536	0.010
64	467.836	3196.536	0.010
65	467.836	3196.536	0.010
66	467.836	3196.536	0.010
67	467.836	3196.536	0.010
68	421.399	3734.029	0.010
69	421.399	3734.029	0.010
70	421.399	3734.029	0.010
71	421.399	3734.029	0.010
72	421.399	3734.029	0.010
73	421.399	3734.029	0.010
74	421.399	3734.029	0.010
75	421.399	3734.029	0.010
76	421.399	3734.029	0.010
77	421.399	3734.029	0.010
78	495.830	3307.327	0.010
79	495.830	3307.327	0.010
80	495.830	3307.327	0.010
81	495.830	3307.327	0.010
82	495.830	3307.327	0.010
83	495.830	3307.327	0.010
84	495.830	3307.327	0.010
85	495.830	3307.327	0.010
86	495.830	3307.327	0.010
87	495.830	3307.327	0.010
88	495.830	3307.327	0.010
89	495.830	3307.327	0.010
90	495.830	3307.327	0.010
91	495.830	3307.327	0.010
92	495.830	3307.327	0.010
93	495.830	3307.327	0.010
94	495.830	3307.327	0.010
95	495.830	3307.327	0.010
96	495.830	3307.327	0.010
97	495.830	3307.327	0.010
98	495.830	3307.327	0.010
99	495.830	3307.327	0.010
1	820.205	3223.774	0.020
2	771.405	2612.807	0.020
3	791.951	2745.213	0.020
4	843.801	3170.241	0.020
5	748.169	2456.090	0.020
6	789.455	2928.109	0.020
7	846.279	3005.953	0.020
8	846.382	3391.071	0.020
9	893.473	3312.534	0.020
10	867.645	3432.291	0.020
11	850.462	3250.436	0.020
12	782.953	3010.789	0.020
13	817.149	3101.791	0.020
14	884.069	3036.660	0.020
15	842.799	3696.312	0.020
16	878.478	2909.695	0.020
17	846.535	3096.356	0.020
18	829.971	2727.116	0.020
19	892.366	3112.385	0.020
20	827.712	2984.419	0.020
21	886.770	3650.713	0.020
22	889.940	3177.331	0.020
23	874.124	3325.932	0.020
24	907.161	3262.175	0.020
25	948.516	3130.454	0.020
26	912.891	3205.796	0.020
27	968.908	3115.394	0.020
28	971.766	2935.263	0.020
29	892.820	2862.796	0.020
30	984.074	3236.634	0.020
31	977.265	3134.859	0.020
32	989.602	3124.971	0.020
33	989.602	3124.971	0.020
34	895.558	2921.015	0.020
35	898.416	2832.963	0.020
36	862.322	2932.628	0.020
37	856.059	2791.846	0.020
38	834.940	2875.020	0.020
39	847.659	2711.191	0.020
40	860.033	2754.193	0.020
41	849.740	2930.758	0.020
42	862.491	3409.691	0.020
43	820.797	2534.205	0.020
44	875.958	3131.274	0.020
45	945.081	3305.763	0.020
46	897.362	3558.035	0.020
47	893.420	2997.916	0.020
48	953.520	4164.942	0.020
49	953.520	4164.942	0.020
50	821.519	2593.193	0.020
51	920.269	3290.481	0.020
52	920.269	3290.481	0.020
53	920.269	3290.481	0.020
54	920.269	3290.481	0.020
55	904.400	3492.930	0.020
56	886.271	2953.032	0.020
57	924.437	2898.282	0.020
58	931.514	3183.529	0.020
59	935.672	3164.248	0.020
60	935.672	3164.248	0.020
61	898.043	2762.467	0.020
62	928.741	3135.749	0.020
63	928.741	3135.749	0.020
64	928.741	3135.749	0.020
65	928.741	3135.749	0.020
66	928.741	3135.749	0.020
67	835.588	3037.994	0.020
68	835.588	3037.994	0.020
69	835.588	3037.994	0.020
70	835.588	3037.994	0.020
71	835.588	3037.994	0.020
72	835.588	3037.994	0.020
73	835.588	3037.994	0.020
74	835.588	3037.994	0.020
75	835.588	3037.994	0.020
76	835.588	3037.994	0.020
77	835.588	3037.994	0.020
78	835.588	3037.994	0.020
79	835.588	3037.994	0.020
80	835.588	3037.994	0.020
81	835.588	3037.994	0.020
82	835.588	3037.994	0.020
83	835.588	3037.994	0.020
84	835.588	3037.994	0.020
85	835.588	3037.994	0.020
86	835.588	3037.994	0.020
87	835.588	3037.994	0.020
88	835.588	3037.994	0.020
89	835.588	3037.994	0.020
90	835.588	3037.994	0.020
91	835.588	3037.994	0.020
92	835.588	3037.994	0.020
93	835.588	3037.994	0.020
94	835.588	3037.994	0.020
95	835.588	3037.994	0.020
96	835.588	3037.994	0.020
97	835.588	3037.994	0.020
98	835.588	3037.994	0.020
99	835.588	3037.994	0.020
1	1230.308	3190.878	0.030
2	1157.108	2586.146	0.030
3	1187.926	2717.201	0.030
4	1265.702	3137.892	0.030
5	1122.254	2431.028	0.030
6	1184.182	2898.230	0.030
7	1269.418	2975.280	0.030
8	1269.572	3356.468	0.030
9	1340.210	3278.733	0.030
10	1301.467	3397.268	0.030
11	1275.693	3217.269	0.030
12	1174.430	2980.066	0.030
13	1225.724	3070.140	0.030
14	1326.104	3005.673	0.030
15	1264.198	3658.594	0.030
16	1317.717	2880.004	0.030
17	1269.802	3064.761	0.030
18	1244.957	2699.288	0.030
19	1338.550	3080.626	0.030
20	1241.568	2953.966	0.030
21	1330.154	3613.461	0.030
22	1311.187	3291.994	0.030
23	1360.742	3228.887	0.030
24	1422.774	3098.510	0.030
25	1317.739	2867.178	0.030
26	1453.361	3083.604	0.030
27	1457.649	2905.311	0.030
28	1339.229	2833.584	0.030
29	1476.111	3203.607	0.030
30	1465.898	3102.871	0.030
31	1484.402	3093.084	0.030
32	1484.402	3093.084	0.030
33	1343.336	2891.209	0.030
34	1271.250	2821.989	0.030
35	1271.250	2821.989	0.030
36	1271.250	2821.989	0.030
37	1271.250	2821.989	0.030
38	1271.250	2821.989	0.030
39	1361.070	3257.980	0.030
40	1293.482	2902.703	0.030
41	1355.214	2969.715	0.030
42	1260.551	3015.920	0.030
43	1284.088	2763.358	0.030
44	1253.382	3006.994	0.030
45	1252.410	2845.683	0.030
46	1252.410	2845.683	0.030
47	1252.410	2845.683	0.030
48	1252.410	2845.683	0.030
49	1252.410	2845.683	0.030
50	1252.410	2845.683	0.030
51	1252.410	2845.683	0.030
52	1252.410	2845.683	0.030
53	1252.410	2845.683	0.030
