Iteration	expected_value	risk	lambda
4.000000	0.000000	2024.136000	0.000000
4.000000	0.000000	2024.136000	0.000000
4.000000	197.874000	2003.895000	0.010000
5.000000	395.749000	1983.654000	0.020000
5.000000	593.623000	1963.412000	0.030000
5.000000	791.498000	1943.171000	0.040000
5.000000	989.372000	1922.930000	0.050000
5.000000	1187.247000	1902.688000	0.060000
5.000000	1385.121000	1882.447000	0.070000
5.000000	1582.995000	1862.206000	0.080000
5.000000	1780.870000	1841.964000	0.090000
5.000000	1978.744000	1821.723000	0.100000
5.000000	2176.619000	1801.481000	0.110000
5.000000	2374.493000	1781.240000	0.120000
5.000000	2572.368000	1760.999000	0.130000
5.000000	2770.242000	1740.757000	0.140000
5.000000	2968.117000	1720.516000	0.150000
5.000000	3165.991000	1700.275000	0.160000
5.000000	3363.865000	1680.033000	0.170000
5.000000	3561.740000	1659.792000	0.180000
5.000000	3759.614000	1639.551000	0.190000
5.000000	3957.489000	1619.309000	0.200000
5.000000	4155.363000	1599.068000	0.210000
5.000000	4353.238000	1578.826000	0.220000
5.000000	4551.112000	1558.585000	0.230000
5.000000	4748.986000	1538.344000	0.240000
5.000000	4946.861000	1518.102000	0.250000
5.000000	5144.735000	1497.861000	0.260000
5.000000	5342.610000	1477.620000	0.270000
5.000000	5540.484000	1457.378000	0.280000
5.000000	5738.359000	1437.137000	0.290000
15.000000	5936.233000	1416.896000	0.300000
15.000000	6134.107000	1396.654000	0.310000
15.000000	6331.982000	1376.413000	0.320000
15.000000	6529.856000	1356.171000	0.330000
15.000000	6727.731000	1335.930000	0.340000
15.000000	6925.605000	1315.689000	0.350000
15.000000	7123.480000	1295.447000	0.360000
27.000000	8620.433000	1287.465000	0.400000
42.000000	7914.977000	1214.482000	0.400000
42.000000	8112.852000	1194.241000	0.410000
42.000000	8310.726000	1173.999000	0.420000
10.000000	9397.982000	1165.675000	0.480000
60.000000	10943.550000	1148.264000	0.480000
61.000000	10943.550000	1148.264000	0.480000
62.000000	10943.550000	1148.264000	0.480000
10.000000	9593.773000	1143.259000	0.490000
60.000000	11171.540000	1126.182000	0.490000
61.000000	11171.540000	1126.182000	0.490000
62.000000	11171.540000	1126.182000	0.490000
10.000000	9789.564000	1120.842000	0.500000
60.000000	11399.531000	1104.100000	0.500000
61.000000	11399.531000	1104.100000	0.500000
62.000000	11399.531000	1104.100000	0.500000
10.000000	9985.356000	1098.425000	0.510000
60.000000	11627.522000	1082.018000	0.510000
61.000000	11627.522000	1082.018000	0.510000
62.000000	11627.522000	1082.018000	0.510000
10.000000	10181.147000	1076.008000	0.520000
60.000000	11855.512000	1059.936000	0.520000
61.000000	11855.512000	1059.936000	0.520000
62.000000	11855.512000	1059.936000	0.520000
10.000000	10376.938000	1053.591000	0.530000
60.000000	12083.503000	1037.854000	0.530000
61.000000	12083.503000	1037.854000	0.530000
62.000000	12083.503000	1037.854000	0.530000
10.000000	10572.729000	1031.174000	0.540000
60.000000	12311.493000	1015.772000	0.540000
61.000000	12311.493000	1015.772000	0.540000
62.000000	12311.493000	1015.772000	0.540000
10.000000	10768.521000	1008.758000	0.550000
60.000000	12539.484000	993.690000	0.550000
61.000000	12539.484000	993.690000	0.550000
62.000000	12539.484000	993.690000	0.550000
10.000000	10964.312000	986.341000	0.560000
60.000000	12767.475000	971.608000	0.560000
61.000000	12767.475000	971.608000	0.560000
62.000000	12767.475000	971.608000	0.560000
10.000000	11160.103000	963.924000	0.570000
60.000000	12995.465000	949.526000	0.570000
61.000000	12995.465000	949.526000	0.570000
62.000000	12995.465000	949.526000	0.570000
10.000000	11355.895000	941.507000	0.580000
60.000000	13223.456000	927.444000	0.580000
61.000000	13223.456000	927.444000	0.580000
62.000000	13223.456000	927.444000	0.580000
31.000000	12715.139000	879.768000	0.590000
31.000000	12930.650000	858.310000	0.600000
31.000000	13146.161000	836.853000	0.610000
31.000000	13361.672000	815.395000	0.620000
31.000000	13577.182000	793.937000	0.630000
31.000000	13792.693000	772.479000	0.640000
31.000000	14008.204000	751.022000	0.650000
31.000000	14223.715000	729.564000	0.660000
31.000000	14439.226000	708.106000	0.670000
31.000000	14654.737000	686.648000	0.680000
31.000000	14870.247000	665.190000	0.690000
38.000000	14724.796000	631.535000	0.700000
38.000000	14935.150000	610.484000	0.710000
35.000000	15145.504000	589.432000	0.720000
35.000000	15355.858000	568.381000	0.730000
35.000000	15566.212000	547.330000	0.740000
35.000000	15776.567000	526.279000	0.750000
35.000000	15986.921000	505.228000	0.760000
35.000000	16197.275000	484.177000	0.770000
34.000000	16809.845000	472.071000	0.780000
35.000000	16809.845000	472.071000	0.780000
36.000000	16809.845000	472.071000	0.780000
34.000000	17025.356000	450.613000	0.790000
35.000000	17025.356000	450.613000	0.790000
36.000000	17025.356000	450.613000	0.790000
34.000000	17240.867000	429.155000	0.800000
35.000000	17240.867000	429.155000	0.800000
36.000000	17240.867000	429.155000	0.800000
34.000000	17456.377000	407.697000	0.810000
35.000000	17456.377000	407.697000	0.810000
36.000000	17456.377000	407.697000	0.810000
34.000000	17671.888000	386.240000	0.820000
35.000000	17671.888000	386.240000	0.820000
36.000000	17671.888000	386.240000	0.820000
34.000000	17887.399000	364.782000	0.830000
35.000000	17887.399000	364.782000	0.830000
36.000000	17887.399000	364.782000	0.830000
34.000000	18102.910000	343.324000	0.840000
35.000000	18102.910000	343.324000	0.840000
36.000000	18102.910000	343.324000	0.840000
34.000000	18318.421000	321.866000	0.850000
35.000000	18318.421000	321.866000	0.850000
36.000000	18318.421000	321.866000	0.850000
34.000000	18533.932000	300.409000	0.860000
35.000000	18533.932000	300.409000	0.860000
36.000000	18533.932000	300.409000	0.860000
34.000000	18749.442000	278.951000	0.870000
35.000000	18749.442000	278.951000	0.870000
36.000000	18749.442000	278.951000	0.870000
34.000000	18964.953000	257.493000	0.880000
35.000000	18964.953000	257.493000	0.880000
36.000000	18964.953000	257.493000	0.880000
34.000000	19180.464000	236.035000	0.890000
35.000000	19180.464000	236.035000	0.890000
36.000000	19180.464000	236.035000	0.890000
34.000000	19395.975000	214.578000	0.900000
35.000000	19395.975000	214.578000	0.900000
1.000000	17847.061000	214.371000	0.910000
34.000000	19611.486000	193.120000	0.910000
35.000000	19611.486000	193.120000	0.910000
1.000000	18043.182000	190.552000	0.920000
34.000000	19826.997000	171.662000	0.920000
35.000000	19826.997000	171.662000	0.920000
1.000000	18239.304000	166.733000	0.930000
34.000000	20042.507000	150.204000	0.930000
35.000000	20042.507000	150.204000	0.930000
1.000000	18435.425000	142.914000	0.940000
34.000000	20258.018000	128.747000	0.940000
35.000000	20258.018000	128.747000	0.940000
1.000000	18631.547000	119.095000	0.950000
34.000000	20473.529000	107.289000	0.950000
35.000000	20473.529000	107.289000	0.950000
1.000000	18827.668000	95.276000	0.960000
34.000000	20689.040000	85.831000	0.960000
35.000000	20689.040000	85.831000	0.960000
1.000000	19023.790000	71.457000	0.970000
34.000000	20904.551000	64.373000	0.970000
35.000000	20904.551000	64.373000	0.970000
