Iteration	expected_value	risk	lambda
1	0.000	2305.565	0.000
2	0.000	2217.749	0.000
3	0.000	2699.049	0.000
4	0.000	2024.136	0.000
5	0.000	2457.833	0.000
6	0.000	2495.666	0.000
7	0.000	2898.577	0.000
8	0.000	2339.111	0.000
9	0.000	2322.278	0.000
10	0.000	2692.382	0.000
11	0.000	2488.153	0.000
12	0.000	3782.323	0.000
13	0.000	3301.895	0.000
14	0.000	2260.077	0.000
15	0.000	2366.689	0.000
16	0.000	3366.773	0.000
17	0.000	2981.639	0.000
18	0.000	3162.276	0.000
19	0.000	3162.276	0.000
20	0.000	3439.350	0.000
21	0.000	2218.808	0.000
22	0.000	2031.843	0.000
23	0.000	2245.419	0.000
24	0.000	2199.930	0.000
25	0.000	2598.270	0.000
26	0.000	3101.189	0.000
27	0.000	2828.111	0.000
28	0.000	2342.873	0.000
29	0.000	2342.873	0.000
30	0.000	3462.770	0.000
31	0.000	3719.530	0.000
32	0.000	4150.831	0.000
33	0.000	3814.104	0.000
34	0.000	2279.998	0.000
35	0.000	3238.396	0.000
36	0.000	2498.680	0.000
37	0.000	2605.309	0.000
38	0.000	3751.338	0.000
39	0.000	3083.804	0.000
40	0.000	3083.804	0.000
41	0.000	3083.804	0.000
42	0.000	3083.804	0.000
43	0.000	2403.147	0.000
44	0.000	2936.105	0.000
45	0.000	2717.971	0.000
46	0.000	3782.116	0.000
47	0.000	3421.530	0.000
48	0.000	3421.530	0.000
49	0.000	3421.530	0.000
1	411.110	2259.454	0.020
2	399.644	2184.356	0.020
3	422.494	2528.282	0.020
4	447.774	3370.563	0.020
5	395.749	1983.654	0.020
6	391.583	2196.850	0.020
7	448.966	3417.379	0.020
8	580.153	3527.117	0.020
9	432.806	2922.006	0.020
10	462.937	2725.762	0.020
11	490.024	3022.912	0.020
12	430.571	2072.538	0.020
13	421.470	2200.511	0.020
14	482.620	2486.884	0.020
15	409.860	2128.071	0.020
16	407.664	2285.172	0.020
17	440.061	2213.296	0.020
18	442.937	2296.016	0.020
19	470.301	2322.543	0.020
20	446.882	2086.207	0.020
21	453.310	2022.141	0.020
22	447.211	2264.210	0.020
23	468.932	2306.857	0.020
24	481.736	2205.697	0.020
25	475.007	2201.872	0.020
26	475.007	2201.872	0.020
27	512.779	2350.306	0.020
28	501.025	2353.448	0.020
29	502.230	2443.915	0.020
30	502.230	2443.915	0.020
31	488.582	2137.074	0.020
32	488.582	2137.074	0.020
33	475.921	2260.842	0.020
34	509.861	2407.184	0.020
35	474.588	2275.154	0.020
36	474.588	2275.154	0.020
37	505.983	2156.977	0.020
38	541.050	2334.243	0.020
39	506.339	2165.527	0.020
40	506.339	2165.527	0.020
41	506.339	2165.527	0.020
42	506.339	2165.527	0.020
43	506.339	2165.527	0.020
44	506.339	2165.527	0.020
45	506.339	2165.527	0.020
46	506.339	2165.527	0.020
47	506.339	2165.527	0.020
48	506.339	2165.527	0.020
49	524.294	2479.489	0.020
1	822.220	2213.342	0.040
2	799.288	2139.777	0.040
3	844.989	2476.684	0.040
4	895.548	3301.776	0.040
5	791.498	1943.171	0.040
6	783.165	2152.016	0.040
